,country_code,postal_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
59371,IN,560001,Rajbhavan (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,12.9914,77.5944,3
59374,IN,560001,Bangalore G.P.O.,Karnataka,19,Bengaluru,583.0,Bangalore North,,12.9914,77.5944,3
59378,IN,560002,Bangalore Corporation Building,Karnataka,19,Bengaluru,583.0,Bangalore South,,12.9719,77.5937,3
59379,IN,560002,Bangalore City,Karnataka,19,Bengaluru,583.0,Bangalore North,,13.2257,77.575,4
59397,IN,560009,Bangalore Dist Offices Bldg,Karnataka,19,Bengaluru,583.0,Bangalore North,,12.991,77.5843,1
59398,IN,560010,Industrial Estate (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,12.9604,77.5673,1
59413,IN,560018,Chamrajpet (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.2257,77.575,4
59421,IN,560024,Anandnagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,12.9996,77.6359,1
59423,IN,560025,Bangalore Sub Foreign Post,Karnataka,19,Bengaluru,583.0,,,12.9634,77.6025,3
59450,IN,560038,Indiranagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,13.2257,77.575,4
59453,IN,560040,Vijayanagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,13.005,77.3214,1
59455,IN,560041,Tilaknagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.2257,77.575,4
59464,IN,560047,Viveknagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.005,77.3214,1
59475,IN,560050,Ashoknagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.2257,77.575,4
59517,IN,560068,Bommanahalli (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.2257,77.575,4
59527,IN,560073,Nagasandra (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore North,,13.289,77.5146,4
59559,IN,560085,Girinagar (Bangalore),Karnataka,19,Bengaluru,583.0,Bangalore South,,13.2257,77.575,4
59619,IN,560300,Bangalore International Airport,Karnataka,19,Bengaluru,583.0,,,13.0082,77.5293,1
59768,IN,562130,Tavarekere (Bangalore),Karnataka,19,Bengaluru,583.0,Bangaloresouth,,13.133,77.9274,4
59789,IN,562149,Bagalur (Bangalore),Karnataka,19,Bengaluru,583.0,Banglorenorth,,13.2257,77.575,4
